Symbol,Description,Local Symbol,IPO Date,Category1,Category2,Category3,GICS Sector,ISIN,SEDOL,Market Cap,Currency,Actions
TT:5227,Advanced Lithium Electrochemistry (Cayman) Co. Ltd.,5227,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,,,0,TWD,Analyze
TT:5263,BROGENT TECHNOLOGIES INC,5263,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005263008,B70D9V1,0,TWD,Analyze
TT:5274,ASPEED TECHNOLOGY INC,5274,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005274005,B80VKP3,0,TWD,Analyze
TT:5299,Excelliance MOS Corp.,5299,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:5306,Kmc Kuei Meng International Inc Common Stock Twd,5306,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0005306005,6160384,0,TWD,Analyze
TT:5347,VANGUARD INTERNATIONAL SEMICONDUCT,5347,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005347009,6109677,0,TWD,Analyze
TT:5356,Sirtec International Co. Ltd.,5356,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,,,0,TWD,Analyze
TT:5371,CORETRONIC CORP,5371,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005371009,6141806,0,TWD,Analyze
TT:5425,TAIWAN SEMICONDUCTOR LTD,5425,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005425003,6222972,0,TWD,Analyze
TT:5478,SOFT-WORLD INTERNATIONAL CORP,5478,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005478002,6343691,0,TWD,Analyze
TT:5483,SINO-AMERICAN SILICON PRODUCTS INC,5483,1/23/2022,Global Equity,Common stocks,Emerging markets,Information Technology,TW0005483002,6335278,0,TWD,Analyze
TT:5512,Rich Development Co Ltd Common Stock Twd 10,5512,1/23/2022,Global Equity,Common stocks,Emerging markets,Industrials,TW0005512008,6136998,0,TWD,Analyze
TT:5530,Lungyen Life Service Corporation,5530,1/23/2022,Global Equity,Common stocks,Emerging markets,Consumer Discretionary,TW0005530000,6292481,0,TWD,Analyze
